State,Population
Alabama,3056528
Alaska,291484
Arizona,4479560
Arkansas,1908076
California,20685348
Colorado,2844092
Connecticut,2267692
Delaware,641516
District of Columbia,308036
Florida,15764516
Georgia,5213036
Hawaii,944672
Idaho,973728
Illinois,7315488
Indiana,3864496
Iowa,2008736
Kansas,1704268
Kentucky,2690584
Louisiana,2612200
Maine,1002216
Maryland,3396636
Massachusetts,4182080
Michigan,6282196
Minnesota,3221284
Mississippi,1758392
Missouri,3818864
Montana,711984
Nebraska,1114472
Nevada,1687040
New Hampshire,875812
New Jersey,5374708
New Mexico,1320028
New York,11858504
North Carolina,6066768
North Dakota,429296
Ohio,7372536
Oklahoma,2304676
Oregon,2644520
Pennsylvania,8717408
Rhode Island,680384
South Carolina,3180680
South Dakota,537596
Tennessee,4065832
Texas,12895900
Utah,1232136
Vermont,439404
Virginia,4754748
Washington,4145168
West Virginia,1344844
Wisconsin,3608312
Wyoming,338688
(blank),
Grand Total,190937168
